DataPoint,UnixTime,SessionTime,Wheel_RPM_Left,Wheel_RPM_Right,Stroke1_mm,Stroke2_mm,I_SENSE(A),TMP(C),APPS(%),BPPS(%),AMS_OK,IMD_OK,HV_ON,BSPD_OK,GPS_Lat,GPS_Lng,GPS_Age,GPS_Course,GPS_Speed,IMU_AccelX,IMU_AccelY,IMU_AccelZ,IMU_GyroX,IMU_GyroY,IMU_GyroZ,BAMOVolt(V),BAMOAmp(A),BAMOPower(W),MotorTemp(C),BAMOTemp(C)
58,1768206971201,13336,102.00,0.00,32.07,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0.0000,0.0000,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.00,0.0,0.0,
59,1768206972401,13536,48.00,0.00,32.07,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0.0000,0.0000,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.00,0.0,0.0,
60,1768206972601,13736,66.00,0.00,32.16,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0.0000,0.0000,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.00,0.0,0.0,
61,1768206972801,13936,72.00,0.00,32.11,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0.0000,0.0000,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.00,0.0,0.0,
62,1768206973001,14136,54.00,0.00,31.63,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0.0000,0.0000,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.00,0.0,0.0,
63,1768206973201,14336,54.00,0.00,31.56,0.46,0.00,0.00,0.00,0.00,0,0,0,0,0.0000,0.0000,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.00,0.0,0.0,
64,1768206974401,14536,36.00,0.00,31.59,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0.0000,0.0000,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.00,0.0,0.0,
65,1768206974601,14736,6.00,0.00,31.78,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0.0000,0.0000,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.00,0.0,0.0,
66,1768206974801,14936,42.00,0.00,32.07,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0.0000,0.0000,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.00,0.0,0.0,
67,1768206975001,15136,48.00,0.00,31.63,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0.0000,0.0000,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.00,0.0,0.0,
68,1768206975201,15336,60.00,0.00,32.11,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0.0000,0.0000,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.00,0.0,0.0,
69,1768206976401,15536,12.00,0.00,32.05,0.16,0.00,0.00,0.00,0.00,0,0,0,0,0.0000,0.0000,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.00,0.0,0.0,
70,1768206976601,15736,42.00,0.00,32.03,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0.0000,0.0000,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.00,0.0,0.0,
71,1768206976801,15936,12.00,0.00,32.09,0.11,0.00,0.00,0.00,0.00,0,0,0,0,0.0000,0.0000,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.00,0.0,0.0,
72,1768206977001,16136,66.00,0.00,32.33,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0.0000,0.0000,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.00,0.0,0.0,
73,1768206977201,16336,30.00,0.00,32.11,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0.0000,0.0000,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.00,0.0,0.0,
74,1768206978401,16536,24.00,0.00,31.56,0.15,0.00,0.00,0.00,0.00,0,0,0,0,0.0000,0.0000,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.00,0.0,0.0,
75,1768206978601,16736,30.00,0.00,31.45,0.07,0.00,0.00,0.00,0.00,0,0,0,0,0.0000,0.0000,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.00,0.0,0.0,
76,1768206978801,16936,48.00,0.00,31.81,0.05,0.00,0.00,0.00,0.00,0,0,0,0,0.0000,0.0000,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.00,0.0,0.0,
77,1768206979001,17136,72.00,0.00,32.11,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0.0000,0.0000,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.00,0.0,0.0,
78,1768206979201,17336,60.00,0.00,31.92,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0.0000,0.0000,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.00,0.0,0.0,
79,1768206980401,17536,66.00,0.00,32.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0.0000,0.0000,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.00,0.0,0.0,
80,1768206980601,17736,48.00,0.00,30.90,42.88,0.00,0.00,0.00,0.00,0,0,0,0,0.0000,0.0000,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.00,0.0,0.0,
81,1768206980801,17936,276.00,0.00,32.07,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0.0000,0.0000,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.00,0.0,0.0,
82,1768206981001,18136,48.00,0.00,32.16,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0.0000,0.0000,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.00,0.0,0.0,
83,1768206981201,18336,36.00,0.00,31.89,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0.0000,0.0000,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.00,0.0,0.0,
84,1768206982401,18536,84.00,0.00,32.07,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0.0000,0.0000,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.00,0.0,0.0,
85,1768206982601,18736,54.00,0.00,31.74,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0.0000,0.0000,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.00,0.0,0.0,
86,1768206982801,18936,66.00,0.00,32.14,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0.0000,0.0000,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.00,0.0,0.0,
87,1768206983001,19136,24.00,0.00,31.87,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0.0000,0.0000,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.00,0.0,0.0,
88,1768206983201,19336,6.00,0.00,32.09,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0.0000,0.0000,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.00,0.0,0.0,
89,1768206984401,19536,18.00,0.00,32.18,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0.0000,0.0000,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.00,0.0,0.0,
90,1768206984601,19736,12.00,0.00,31.79,0.13,0.00,0.00,0.00,0.00,0,0,0,0,0.0000,0.0000,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.00,0.0,0.0,
